ORIGIN,TRANSLATE,TYPE,MODULE
"
                
                    Algolia Search
                
            ","
                
                    Algolia Search
                
            ",module,Algolia_AlgoliaSearch
"
                        
                                For CMS pages, template directives (e.g. <code>{{block type=""core/template"" ...}}</code>) will be processed by default. Set this to ""No"" if you don't want to have template content indexed.<br><br>
                                <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Do not forget to trigger the Algolia Search indexers whenever you modify those settings.
                                
                    ","
                        
                                For CMS pages, template directives (e.g. <code>{{block type=""core/template"" ...}}</code>) will be processed by default. Set this to ""No"" if you don't want to have template content indexed.<br><br>
                                <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Do not forget to trigger the Algolia Search indexers whenever you modify those settings.
                                
                    ",module,Algolia_AlgoliaSearch
"
                        
                            A search-only API key (will be included in the public JavaScript code)
                        
                    ","
                        
                            A search-only API key (will be included in the public JavaScript code)
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Choose here if the algolia logo is added to the drop-down template.
                        
                    ","
                        
                            Choose here if the algolia logo is added to the drop-down template.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Choose here if you want the default Magento category pages to be replaced by an instant-search
                            results page when a category is selected either in the menu of categories or in the drop-down menu.
                        
                    ","
                        
                            Choose here if you want the default Magento category pages to be replaced by an instant-search
                            results page when a category is selected either in the menu of categories or in the drop-down menu.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Choose here if you want to add an ""add to cart"" button in the template.
                        
                    ","
                        
                            Choose here if you want to add an ""add to cart"" button in the template.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Choose here if you want to index out of stock options for configurable products
                        
                    ","
                        
                            Choose here if you want to index out of stock options for configurable products
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Choose here if you want to show most popular queries suggestions when there are no results/
                        
                    ","
                        
                            Choose here if you want to show most popular queries suggestions when there are no results/
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Choose here the attributes that reflect the popularity of your categories (number of products, total number of sales of the category,etc.).<br />
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> All attributes used here must have been included before in the ""Attributes"" configuration.
                            <br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Do not forget to reindex your Algolia Search index after you've modified this panel.
                        
                    ","
                        
                            Choose here the attributes that reflect the popularity of your categories (number of products, total number of sales of the category,etc.).<br />
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> All attributes used here must have been included before in the ""Attributes"" configuration.
                            <br><br>
                            <span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Do not forget to reindex your Algolia Search index after you've modified this panel.
                        
                    ",module,Algolia_AlgoliaSearch
"
                        
                            Choose here the product attributes your users can search on, the ones you want to use as filters and sorts options and the ones required to display the search results.<br><br>
                             The order of the searchable attributes matters: a query matching the first searchable attribute of a product will put this product before the others in the results. Chose ""Ordered"" if you want the position of the matching word(s) inside the attribute to matter. A match at the beginning of an attribute will be considered more important: for the query ""iPhone"", ""iPhone 5s"" will be ranked before ""case for iPhone"".<br />
                            <br><span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Do not forget to reindex your Algolia Search index after you've modified this panel.
                        
                    ","
                        
                            Choose here the product attributes your users can search on, the ones you want to use as filters and sorts options and the ones required to display the search results.<br><br>
                             The order of the searchable attributes matters: a query matching the first searchable attribute of a product will put this product before the others in the results. Chose ""Ordered"" if you want the position of the matching word(s) inside the attribute to matter. A match at the beginning of an attribute will be considered more important: for the query ""iPhone"", ""iPhone 5s"" will be ranked before ""case for iPhone"".<br />
                            <br><span style=""font-size: 30px; color: #D83900; position: relative; top: 6px;"">&#9888;</span> Do not forget to reindex your Algolia Search index after you've modified this panel.
                        
                    ",module,Algolia_AlgoliaSearch
